Local Keywords,Month,Traffic Source,Views,Visits
payg withholding,Jul-13,Internal,3,3
allowances,Jul-13,External,533,252
allowances,Jul-13,Internal,35,5
travel expenses,Jul-13,External,280,161
travel expenses,Jul-13,Internal,5,3
tax file number,Jul-13,External,219,145
tax file number,Jul-13,Internal,1,1
meal allowance,Jul-13,External,474,210
meal allowance,Jul-13,Internal,2,1
woolworths,Jul-13,External,555,189
woolworths,Jul-13,Internal,21,12
non resident,Jul-13,External,200,123
non resident,Jul-13,Internal,6,5
taxable payments annual report,Jul-13,External,532,315
taxable payments annual report,Jul-13,Internal,13,10
fortnightly tax table,Jul-13,External,295,212
fortnightly tax table,Jul-13,Internal,6,3
work related expenses,Jul-13,External,606,223
work related expenses,Jul-13,Internal,8,4
71050,Jul-13,External,386,232
71050,Jul-13,Internal,36,17
super,Jul-13,External,172,130
super,Jul-13,Internal,4,3
income tax rates,Jul-13,External,203,163
income tax rates,Jul-13,Internal,1,1
hobby,Jul-13,External,252,137
hobby,Jul-13,Internal,12,5
td 2012/17,Jul-13,External,303,174
td 2012/17,Jul-13,Internal,6,6
cr 2012/112,Jul-13,External,141,92
cr 2012/112,Jul-13,Internal,7,2
senior australians tax offset,Jul-13,External,217,141
senior australians tax offset,Jul-13,Internal,4,3
superannuation guarantee,Jul-13,External,245,153
superannuation guarantee,Jul-13,Internal,6,4
lump sum payments,Jul-13,External,323,193
lump sum payments,Jul-13,Internal,9,6
mileage,Jul-13,External,197,151
mileage,Jul-13,Internal,2,2
spouse,Jul-13,External,341,181
spouse,Jul-13,Internal,27,9
group certificates,Jul-13,External,471,278
group certificates,Jul-13,Internal,2,1
delayed tax return,Jul-13,External,284,116
delayed tax return,Jul-13,Internal,5,5
trust tax return instructions,Jul-13,External,376,129
trust tax return instructions,Jul-13,Internal,3,2
inheritance,Jul-13,External,204,117
inheritance,Jul-13,Internal,9,2
trust tax return instructions 2013,Jul-13,External,324,129
trust tax return instructions 2013,Jul-13,Internal,18,6
3447,Jul-13,External,323,209
3447,Jul-13,Internal,11,8
taxpack,Aug-13,External,1255,649
taxpack,Aug-13,Internal,25,12
payment summary,Aug-13,External,829,480
payment summary,Aug-13,Internal,28,19
help,Aug-13,External,1282,603
help,Aug-13,Internal,20,11
forms,Aug-13,External,1317,506
forms,Aug-13,Internal,30,10
living away from home allowance,Aug-13,External,1258,508
living away from home allowance,Aug-13,Internal,14,6
depreciation,Aug-13,External,788,438
depreciation,Aug-13,Internal,7,2
payment summaries,Aug-13,External,482,250
payment summaries,Aug-13,Internal,8,4
senior australians and pensioner tax offset,Aug-13,External,902,457
senior australians and pensioner tax offset,Aug-13,Internal,34,16
tax tables,Aug-13,External,644,396
tax tables,Aug-13,Internal,17,17
tax rates,Aug-13,External,647,393
tax rates,Aug-13,Internal,22,16
medicare levy,Aug-13,External,642,406
medicare levy,Aug-13,Internal,23,14
tax calculator,Aug-13,External,612,364
tax calculator,Aug-13,Internal,6,2
redundancy,Aug-13,External,853,394
redundancy,Aug-13,Internal,22,10
cents per kilometre,Aug-13,External,698,325
cents per kilometre,Aug-13,Internal,12,6
superannuation,Aug-13,External,666,336
superannuation,Aug-13,Internal,12,7
etax 2012,Aug-13,External,607,364
etax 2012,Aug-13,Internal,8,7
notice of assessment,Aug-13,External,552,340
notice of assessment,Aug-13,Internal,15,7
superseeker,Aug-13,External,568,342
superseeker,Aug-13,Internal,12,7
departing australia superannuation payment,Aug-13,External,539,313
departing australia superannuation payment,Aug-13,Internal,43,16
low income tax offset,Aug-13,External,699,346
low income tax offset,Aug-13,Internal,34,11
hecs,Aug-13,External,630,352
hecs,Aug-13,Internal,20,11
payg,Aug-13,External,420,274
payg,Aug-13,Internal,11,7
individual tax return instructions,Aug-13,External,380,255
individual tax return instructions,Aug-13,Internal,10,10
tax table,Aug-13,External,399,285
tax table,Aug-13,Internal,16,13
tax rate,Aug-13,External,470,330
tax rate,Aug-13,Internal,3,2
gst,Aug-13,External,573,282
gst,Aug-13,Internal,18,9
medical expenses,Aug-13,External,745,303
medical expenses,Aug-13,Internal,12,4
individual tax return instructions supplement,Aug-13,External,337,231
individual tax return instructions supplement,Aug-13,Internal,10,7
amendment,Aug-13,External,528,274
amendment,Aug-13,Internal,25,18
payg payment summary,Aug-13,External,360,230
payg payment summary,Aug-13,Internal,9,6
cr 2013/18,Aug-13,External,1155,477
cr 2013/18,Aug-13,Internal,10,4
cr 2012/121,Aug-13,External,679,317
cr 2012/121,Aug-13,Internal,8,4
calculator,Aug-13,External,395,230
calculator,Aug-13,Internal,6,4
help debt,Aug-13,External,483,287
help debt,Aug-13,Internal,8,4
statutory declaration,Aug-13,External,722,292
statutory declaration,Aug-13,Internal,43,21
tax pack,Aug-13,External,322,197
tax pack,Aug-13,Internal,27,4
tax free threshold,Aug-13,External,357,254
tax free threshold,Aug-13,Internal,4,3
progress of return,Aug-13,External,447,239
progress of return,Aug-13,Internal,9,3
travel allowance,Aug-13,External,418,182
travel allowance,Aug-13,Internal,4,4
73194,Aug-13,External,466,208
73194,Aug-13,Internal,74,60
non lodgment,Aug-13,External,379,221
non lodgment,Aug-13,Internal,23,14
salary sacrifice,Aug-13,External,341,193
salary sacrifice,Aug-13,Internal,7,4
group certificate,Aug-13,External,287,177
group certificate,Aug-13,Internal,11,8
fbt,Aug-13,External,343,216
fbt,Aug-13,Internal,8,4
46,Aug-13,External,207,140
46,Aug-13,Internal,13,9
tax return,Aug-13,External,289,199
tax return,Aug-13,Internal,14,12
tax offsets,Aug-13,External,660,224
tax offsets,Aug-13,Internal,22,6
deductions,Aug-13,External,307,188
deductions,Aug-13,Internal,9,8
weekly tax table,Aug-13,External,209,155
weekly tax table,Aug-13,Internal,4,2
medicare levy surcharge,Aug-13,External,412,210
medicare levy surcharge,Aug-13,Internal,4,3
zone offset,Aug-13,External,902,325
zone offset,Aug-13,Internal,32,11
capital gains tax,Aug-13,External,334,179
capital gains tax,Aug-13,Internal,7,6
car expenses,Aug-13,External,332,176
car expenses,Aug-13,Internal,7,4
foreign resident,Aug-13,External,279,180
foreign resident,Aug-13,Internal,6,6
calculators,Aug-13,External,384,187
calculators,Aug-13,Internal,3,3
etax,Aug-13,External,211,144
etax,Aug-13,Internal,4,2
zone,Aug-13,External,694,297
zone,Aug-13,Internal,9,6
foreign exchange rates,Aug-13,External,329,178
foreign exchange rates,Aug-13,Internal,12,7
tax pack 2013,Aug-13,External,229,146
tax pack 2013,Aug-13,Internal,9,7
2843,Aug-13,External,428,203
2843,Aug-13,Internal,17,11
car allowance,Aug-13,External,293,152
car allowance,Aug-13,Internal,4,2
etax 2013,Aug-13,External,161,109
etax 2013,Aug-13,Internal,1,1
74109,Aug-13,External,99,69
74109,Aug-13,Internal,3,3
rental property,Aug-13,External,316,155
rental property,Aug-13,Internal,8,4
zone rebate,Aug-13,External,692,277
zone rebate,Aug-13,Internal,19,5
abn,Aug-13,External,252,184
abn,Aug-13,Internal,7,6
depreciation rates,Aug-13,External,302,152
depreciation rates,Aug-13,Internal,3,3
1005,Aug-13,External,172,128
1005,Aug-13,Internal,3,3
motor vehicle,Aug-13,External,277,161
home office,Aug-13,External,213,161
home office,Aug-13,Internal,2,1
tax withheld calculator,Aug-13,External,248,176
tax withheld calculator,Aug-13,Internal,5,4
tax offset,Aug-13,External,518,185
tax offset,Aug-13,Internal,33,8
withholding tax,Aug-13,External,235,144
withholding tax,Aug-13,Internal,6,4
payg withholding,Aug-13,External,212,147
payg withholding,Aug-13,Internal,4,3
allowances,Aug-13,External,205,118
allowances,Aug-13,Internal,3,2
travel expenses,Aug-13,External,330,171
travel expenses,Aug-13,Internal,4,3
tax file number,Aug-13,External,233,169
tax file number,Aug-13,Internal,5,3
meal allowance,Aug-13,External,300,149
meal allowance,Aug-13,Internal,3,3
woolworths,Aug-13,External,561,199
woolworths,Aug-13,Internal,12,5
non resident,Aug-13,External,292,160
non resident,Aug-13,Internal,8,5
taxable payments annual report,Aug-13,External,154,95
taxable payments annual report,Aug-13,Internal,10,6
fortnightly tax table,Aug-13,External,160,125
fortnightly tax table,Aug-13,Internal,1,1
work related expenses,Aug-13,External,333,127
work related expenses,Aug-13,Internal,18,3
71050,Aug-13,External,126,77
71050,Aug-13,Internal,6,3
super,Aug-13,External,198,130
super,Aug-13,Internal,1,1
income tax rates,Aug-13,External,252,164
income tax rates,Aug-13,Internal,15,7
hobby,Aug-13,External,335,157
hobby,Aug-13,Internal,8,4
td 2012/17,Aug-13,External,264,150
td 2012/17,Aug-13,Internal,11,5
cr 2012/112,Aug-13,External,393,219
cr 2012/112,Aug-13,Internal,6,3
senior australians tax offset,Aug-13,External,311,169
senior australians tax offset,Aug-13,Internal,7,3
superannuation guarantee,Aug-13,External,233,130
superannuation guarantee,Aug-13,Internal,1,1
lump sum payments,Aug-13,External,298,136
lump sum payments,Aug-13,Internal,2,2
mileage,Aug-13,External,216,139
mileage,Aug-13,Internal,1,1
spouse,Aug-13,External,183,115
spouse,Aug-13,Internal,2,2
group certificates,Aug-13,External,121,91
delayed tax return,Aug-13,External,642,237
delayed tax return,Aug-13,Internal,25,16
trust tax return instructions,Aug-13,External,340,149
trust tax return instructions,Aug-13,Internal,5,3
inheritance,Aug-13,External,222,133
inheritance,Aug-13,Internal,1,1
trust tax return instructions 2013,Aug-13,External,460,149
trust tax return instructions 2013,Aug-13,Internal,26,6
3447,Aug-13,External,149,96
3447,Aug-13,Internal,14,13
taxpack,Sep-13,External,945,456
taxpack,Sep-13,Internal,8,8
payment summary,Sep-13,External,373,233
payment summary,Sep-13,Internal,5,4
help,Sep-13,External,773,402
help,Sep-13,Internal,14,7
forms,Sep-13,External,1004,362
forms,Sep-13,Internal,8,6
living away from home allowance,Sep-13,External,761,337
living away from home allowance,Sep-13,Internal,23,10
depreciation,Sep-13,External,809,371
depreciation,Sep-13,Internal,8,2
payment summaries,Sep-13,External,227,135
payment summaries,Sep-13,Internal,7,3
senior australians and pensioner tax offset,Sep-13,External,523,268
senior australians and pensioner tax offset,Sep-13,Internal,15,11
tax tables,Sep-13,External,455,262
tax tables,Sep-13,Internal,16,11
tax rates,Sep-13,External,473,297
tax rates,Sep-13,Internal,9,7
medicare levy,Sep-13,External,406,267
medicare levy,Sep-13,Internal,14,10
tax calculator,Sep-13,External,415,286
tax calculator,Sep-13,Internal,2,1
redundancy,Sep-13,External,549,250
redundancy,Sep-13,Internal,5,5
cents per kilometre,Sep-13,External,670,278
cents per kilometre,Sep-13,Internal,7,3
superannuation,Sep-13,External,799,357
superannuation,Sep-13,Internal,3,2
etax 2012,Sep-13,External,587,306
etax 2012,Sep-13,Internal,11,7
notice of assessment,Sep-13,External,277,193
notice of assessment,Sep-13,Internal,5,4
superseeker,Sep-13,External,589,292
superseeker,Sep-13,Internal,2,2
departing australia superannuation payment,Sep-13,External,694,329
departing australia superannuation payment,Sep-13,Internal,26,16
low income tax offset,Sep-13,External,333,213
low income tax offset,Sep-13,Internal,15,8
hecs,Sep-13,External,414,227
hecs,Sep-13,Internal,2,1
payg,Sep-13,External,414,231
payg,Sep-13,Internal,7,4
individual tax return instructions,Sep-13,External,355,207
individual tax return instructions,Sep-13,Internal,5,4
tax table,Sep-13,External,316,220
tax table,Sep-13,Internal,2,2
tax rate,Sep-13,External,419,246
tax rate,Sep-13,Internal,2,2
gst,Sep-13,External,589,257
gst,Sep-13,Internal,7,6
medical expenses,Sep-13,External,408,215
medical expenses,Sep-13,Internal,11,7
individual tax return instructions supplement,Sep-13,External,231,159
individual tax return instructions supplement,Sep-13,Internal,2,2
amendment,Sep-13,External,304,176
amendment,Sep-13,Internal,9,6
payg payment summary,Sep-13,External,201,94
cr 2013/18,Sep-13,External,579,266
cr 2012/121,Sep-13,External,219,132
cr 2012/121,Sep-13,Internal,1,1
calculator,Sep-13,External,468,204
calculator,Sep-13,Internal,6,4
help debt,Sep-13,External,341,213
help debt,Sep-13,Internal,8,2
statutory declaration,Sep-13,External,314,157
statutory declaration,Sep-13,Internal,8,7
tax pack,Sep-13,External,245,165
tax pack,Sep-13,Internal,3,3
tax free threshold,Sep-13,External,257,171
tax free threshold,Sep-13,Internal,2,2
progress of return,Sep-13,External,188,130
travel allowance,Sep-13,External,427,185
73194,Sep-13,External,424,169
73194,Sep-13,Internal,24,14
non lodgment,Sep-13,External,337,226
non lodgment,Sep-13,Internal,8,7
salary sacrifice,Sep-13,External,321,177
salary sacrifice,Sep-13,Internal,1,1
group certificate,Sep-13,External,122,82
group certificate,Sep-13,Internal,3,1
fbt,Sep-13,External,374,166
fbt,Sep-13,Internal,3,3
46,Sep-13,External,56,44
tax return,Sep-13,External,258,176
tax return,Sep-13,Internal,7,5
tax offsets,Sep-13,External,434,155
tax offsets,Sep-13,Internal,11,4
deductions,Sep-13,External,231,136
deductions,Sep-13,Internal,2,1
weekly tax table,Sep-13,External,225,136
weekly tax table,Sep-13,Internal,3,3
medicare levy surcharge,Sep-13,External,274,159
medicare levy surcharge,Sep-13,Internal,12,6
zone offset,Sep-13,External,112,69
zone offset,Sep-13,Internal,7,6
capital gains tax,Sep-13,External,371,191
capital gains tax,Sep-13,Internal,3,3
car expenses,Sep-13,External,296,152
foreign resident,Sep-13,External,274,184
foreign resident,Sep-13,Internal,9,7
calculators,Sep-13,External,603,184
calculators,Sep-13,Internal,16,7
etax,Sep-13,External,168,124
etax,Sep-13,Internal,3,1
zone,Sep-13,External,93,63
foreign exchange rates,Sep-13,External,488,215
foreign exchange rates,Sep-13,Internal,1,1
tax pack 2013,Sep-13,External,190,109
tax pack 2013,Sep-13,Internal,1,1
2843,Sep-13,External,145,101
2843,Sep-13,Internal,5,4
car allowance,Sep-13,External,247,138
car allowance,Sep-13,Internal,2,1
etax 2013,Sep-13,External,113,85
74109,Sep-13,External,16,14
74109,Sep-13,Internal,1,1
rental property,Sep-13,External,364,186
rental property,Sep-13,Internal,1,1
zone rebate,Sep-13,External,198,87
zone rebate,Sep-13,Internal,1,1
abn,Sep-13,External,255,156
abn,Sep-13,Internal,4,2
depreciation rates,Sep-13,External,295,144
1005,Sep-13,External,129,97
1005,Sep-13,Internal,1,1
motor vehicle,Sep-13,External,247,142
motor vehicle,Sep-13,Internal,1,1
home office,Sep-13,External,141,108
home office,Sep-13,Internal,1,1
tax withheld calculator,Sep-13,External,189,143
tax offset,Sep-13,External,214,95
tax offset,Sep-13,Internal,2,2
withholding tax,Sep-13,External,242,144
withholding tax,Sep-13,Internal,1,1
payg withholding,Sep-13,External,217,120
payg withholding,Sep-13,Internal,19,4
allowances,Sep-13,External,183,96
allowances,Sep-13,Internal,1,1
travel expenses,Sep-13,External,272,129
travel expenses,Sep-13,Internal,6,4
tax file number,Sep-13,External,219,151
meal allowance,Sep-13,External,184,104
meal allowance,Sep-13,Internal,1,1
woolworths,Sep-13,External,107,60
non resident,Sep-13,External,322,167
non resident,Sep-13,Internal,1,1
taxable payments annual report,Sep-13,External,40,31
taxable payments annual report,Sep-13,Internal,3,3
fortnightly tax table,Sep-13,External,141,115
fortnightly tax table,Sep-13,Internal,3,3
work related expenses,Sep-13,External,282,99
work related expenses,Sep-13,Internal,1,1
71050,Sep-13,External,193,116
71050,Sep-13,Internal,9,5
super,Sep-13,External,318,185
income tax rates,Sep-13,External,136,110
income tax rates,Sep-13,Internal,3,3
hobby,Sep-13,External,316,140
hobby,Sep-13,Internal,12,4
td 2012/17,Sep-13,External,222,106
td 2012/17,Sep-13,Internal,9,3
cr 2012/112,Sep-13,External,183,116
cr 2012/112,Sep-13,Internal,1,1
senior australians tax offset,Sep-13,External,170,113
senior australians tax offset,Sep-13,Internal,4,3
superannuation guarantee,Sep-13,External,310,140
superannuation guarantee,Sep-13,Internal,3,3
lump sum payments,Sep-13,External,130,77
lump sum payments,Sep-13,Internal,3,2
mileage,Sep-13,External,180,121
mileage,Sep-13,Internal,2,1
spouse,Sep-13,External,236,102
spouse,Sep-13,Internal,2,1
group certificates,Sep-13,External,41,37
delayed tax return,Sep-13,External,41,31
delayed tax return,Sep-13,Internal,6,1
trust tax return instructions,Sep-13,External,340,118
trust tax return instructions,Sep-13,Internal,10,4
inheritance,Sep-13,External,327,139
inheritance,Sep-13,Internal,15,4
trust tax return instructions 2013,Sep-13,External,221,100
trust tax return instructions 2013,Sep-13,Internal,7,4
3447,Sep-13,External,79,61
3447,Sep-13,Internal,5,5
help,Oct-13,External,1012,528
help,Oct-13,Internal,23,14
superseeker,Oct-13,External,620,378
superseeker,Oct-13,Internal,17,7
superannuation,Oct-13,External,761,394
superannuation,Oct-13,Internal,5,4
forms,Oct-13,External,1436,522
forms,Oct-13,Internal,34,10
departing australia superannuation payment,Oct-13,External,845,411
departing australia superannuation payment,Oct-13,Internal,32,23
gst,Oct-13,External,824,374
gst,Oct-13,Internal,20,11
depreciation,Oct-13,External,949,474
depreciation,Oct-13,Internal,24,8
tax tables,Oct-13,External,559,364
tax tables,Oct-13,Internal,21,17
tax rates,Oct-13,External,840,513
tax rates,Oct-13,Internal,58,35
cents per kilometre,Oct-13,External,865,373
cents per kilometre,Oct-13,Internal,10,5
redundancy,Oct-13,External,537,256
redundancy,Oct-13,Internal,21,5
taxpack,Oct-13,External,741,462
taxpack,Oct-13,Internal,16,13
8676,Oct-13,External,153,106
8676,Oct-13,Internal,5,5
living away from home allowance,Oct-13,External,619,293
living away from home allowance,Oct-13,Internal,9,3
tax rate,Oct-13,External,551,365
tax rate,Oct-13,Internal,15,9
senior australians and pensioner tax offset,Oct-13,External,576,327
senior australians and pensioner tax offset,Oct-13,Internal,26,15
payg,Oct-13,External,575,337
payg,Oct-13,Internal,27,11
medicare levy,Oct-13,External,487,345
medicare levy,Oct-13,Internal,27,14
hecs,Oct-13,External,464,254
hecs,Oct-13,Internal,28,7
etax 2012,Oct-13,External,756,423
etax 2012,Oct-13,Internal,9,5
tax calculator,Oct-13,External,652,382
tax calculator,Oct-13,Internal,13,5
tax table,Oct-13,External,394,290
tax table,Oct-13,Internal,19,13
tax file number,Oct-13,External,306,212
tax file number,Oct-13,Internal,7,5
medicare levy surcharge,Oct-13,External,407,240
medicare levy surcharge,Oct-13,Internal,8,7
abn,Oct-13,External,380,231
abn,Oct-13,Internal,13,7
super,Oct-13,External,445,250
super,Oct-13,Internal,4,3
tax free threshold,Oct-13,External,398,280
tax free threshold,Oct-13,Internal,12,10
foreign resident,Oct-13,External,532,258
foreign resident,Oct-13,Internal,15,9
capital gains tax,Oct-13,External,516,260
capital gains tax,Oct-13,Internal,13,6
company tax return,Oct-13,External,740,267
company tax return,Oct-13,Internal,35,10
travel allowance,Oct-13,External,483,258
travel allowance,Oct-13,Internal,7,2
salary sacrifice,Oct-13,External,492,225
salary sacrifice,Oct-13,Internal,4,4
calculator,Oct-13,External,497,236
calculator,Oct-13,Internal,9,4
hobby,Oct-13,External,427,189
hobby,Oct-13,Internal,5,5
inheritance,Oct-13,External,717,229
inheritance,Oct-13,Internal,11,5
fbt,Oct-13,External,243,171
fbt,Oct-13,Internal,1,1
1432,Oct-13,External,67,56
1432,Oct-13,Internal,3,3
73194,Oct-13,External,410,162
73194,Oct-13,Internal,67,48
non resident,Oct-13,External,439,239
non resident,Oct-13,Internal,18,9
superannuation guarantee,Oct-13,External,358,158
low income tax offset,Oct-13,External,610,337
low income tax offset,Oct-13,Internal,12,10
help debt,Oct-13,External,372,228
help debt,Oct-13,Internal,9,2
gst registration,Oct-13,External,418,175
gst registration,Oct-13,Internal,6,3
auskey,Oct-13,External,210,159
auskey,Oct-13,Internal,2,2
travel expenses,Oct-13,External,545,231
travel expenses,Oct-13,Internal,13,4
medical expenses,Oct-13,External,536,283
medical expenses,Oct-13,Internal,9,5
foreign exchange rates,Oct-13,External,289,184
foreign exchange rates,Oct-13,Internal,2,2
payg withholding,Oct-13,External,355,213
payg withholding,Oct-13,Internal,2,2
mileage,Oct-13,External,236,184
mileage,Oct-13,Internal,2,2
calculators,Oct-13,External,711,255
calculators,Oct-13,Internal,13,3
non lodgment,Oct-13,External,273,209
non lodgment,Oct-13,Internal,13,9
bas,Oct-13,External,310,214
bas,Oct-13,Internal,9,5
notice of assessment,Oct-13,External,289,221
notice of assessment,Oct-13,Internal,3,2
tax return,Oct-13,External,345,205
tax return,Oct-13,Internal,9,9
payment summary,Oct-13,External,332,201
payment summary,Oct-13,Internal,12,9
car allowance,Oct-13,External,287,156
car allowance,Oct-13,Internal,13,9
car expenses,Oct-13,External,370,207
car expenses,Oct-13,Internal,2,2
withholding tax,Oct-13,External,407,211
withholding tax,Oct-13,Internal,4,2
individual tax return instructions,Oct-13,External,533,255
individual tax return instructions,Oct-13,Internal,17,13
weekly tax table,Oct-13,External,186,142
weekly tax table,Oct-13,Internal,2,2
amendment,Oct-13,External,254,190
amendment,Oct-13,Internal,9,7
company tax return 2013,Oct-13,External,587,185
company tax return 2013,Oct-13,Internal,4,3
2943,Oct-13,External,44,35
2943,Oct-13,Internal,2,2
tfn application,Oct-13,External,273,143
tfn application,Oct-13,Internal,7,7
motor vehicle,Oct-13,External,381,190
motor vehicle,Oct-13,Internal,6,5
foreign income,Oct-13,External,468,202
foreign income,Oct-13,Internal,8,3
tax withheld calculator,Oct-13,External,198,159
tax withheld calculator,Oct-13,Internal,4,4
rental property,Oct-13,External,313,174
rental property,Oct-13,Internal,4,3
foreign exchange rate,Oct-13,External,217,136
foreign exchange rate,Oct-13,Internal,1,1
capital gains,Oct-13,External,349,168
capital gains,Oct-13,Internal,4,4
depreciation rates,Oct-13,External,263,133
depreciation rates,Oct-13,Internal,3,1
cgt,Oct-13,External,344,155
cgt,Oct-13,Internal,3,2
payg instalments,Oct-13,External,213,118
payg instalments,Oct-13,Internal,17,10
tax offsets,Oct-13,External,492,178
tax offsets,Oct-13,Internal,6,2
allowances,Oct-13,External,254,125
allowances,Oct-13,Internal,5,4
tfn,Oct-13,External,152,103
tfn,Oct-13,Internal,2,2
company tax return instructions,Oct-13,External,554,161
company tax return instructions,Oct-13,Internal,11,5
gifts,Oct-13,External,238,121
gifts,Oct-13,Internal,2,2
residency,Oct-13,External,356,159
residency,Oct-13,Internal,25,16
fortnightly tax table,Oct-13,External,147,112
fortnightly tax table,Oct-13,Internal,4,3
tax file number declaration,Oct-13,External,139,108
exchange rate,Oct-13,External,237,138
income tax rates,Oct-13,External,321,225
